104,2013-09-02,2,1361,front;page,misc
105,2013-09-02,2,26334,old;year,misc
106,2013-09-02,3,7533,cbs;cable;warner,misc
107,2013-09-02,3,2253,base;border;afghan,misc
108,2013-09-02,2,16405,ozil;arsenal,event
109,2013-09-02,2,10320,day;like,event
110,2013-09-02,2,1566,base;taliban,news
111,2013-09-02,2,10199,shades;grey,misc
112,2013-09-02,2,4122,west;key,misc
113,2013-09-02,3,1426,chief;nato;rasmussen,misc
114,2013-09-02,2,3762,frost;david,misc
115,2013-09-03,2,2249,time;warner,misc
116,2013-09-03,2,11569,old;year,misc
117,2013-09-03,2,5567,vodafone;verizon,event
118,2013-09-03,3,9884,rodman;dennis;korea,event
119,2013-09-03,2,1013,zuma;mandela,event
120,2013-09-03,3,1542,files;govt;coal,event
121,2013-09-03,7,120278,billion;buy;deal;business;nokia;services;microsoft,news
122,2013-09-03,5,8902,open;federer;roger;round;tommy,news
123,2013-09-03,23,174462,says;senate;house;mediterranean;hearing;bjp;missiles;live;ballistic;strike;war;israel;kerry;congress;missile;briefing;objects;military;obama;ministry;boehner;action;syria,news
124,2013-09-03,2,1368,democratic;debate,event
125,2013-09-03,2,7683,diana;nyad,misc
126,2013-09-04,2,3177,gmb;labour,misc
127,2013-09-04,27,146782,force;senate;house;mccain;says;ground;conference;former;weapons;live;thirdmetric;strike;draft;obama;poker;putin;watch;syria;president;day;panel;pmqs;stockholm;action;military;resolution;russia,news
128,2013-09-04,2,1613,raghuram;rajan,misc
129,2013-09-04,5,33489,note;galaxy;gear;smartwatch;samsung,event
130,2013-09-04,7,67927,ariel;dead;cell;castro;cleveland;found;ohio,news
131,2013-09-04,2,1208,manning;rachel,misc
132,2013-09-04,2,1415,committee;foreign,misc
133,2013-09-04,2,4414,school;stabbing,news
134,2013-09-04,2,1315,files;coal,misc
135,2013-09-05,3,5977,crossing;sheppey;crash,news
136,2013-09-05,2,5222,interior;minister,misc
137,2013-09-05,2,2662,egypt;minister,misc
138,2013-09-05,2,1126,criminal;court,news
139,2013-09-05,2,1394,leak;gas,news
140,2013-09-05,2,1056,found;conduct,misc
141,2013-09-05,14,73855,c4news;putin;says;leaders;g20;strike;summit;teachers;syria;report;military;hopefuls;russia;obama,news
142,2013-09-05,2,7619,encryption;internet,misc
143,2013-09-05,3,1799,cnn;flag;findtheflag,misc
144,2013-09-05,3,2024,bbc;former;payoffs,misc
145,2013-09-05,2,1054,gabrielle;storm,misc
146,2013-09-05,3,5356,fire;hunter;yosemite,misc
147,2013-09-05,2,1688,100;pile,misc
148,2013-09-05,3,7551,divorce;george;wife,event
149,2013-09-05,3,11552,wawrinka;andy;murray,event
150,2013-09-05,2,7066,credit;universal,misc
151,2013-09-05,2,11495,old;year,misc
152,2013-09-05,6,8041,ausvotes;coalition;costings;hockey;public;election,news
153,2013-09-05,2,1048,speaker;request,misc
154,2013-09-05,2,2205,panda;zoo,event
155,2013-09-06,3,4042,break;encryption;internet,news
156,2013-09-06,4,10181,advancingthedream;live;watch;updates,event
157,2013-09-06,3,8808,hernandez;aaron;murder,news
158,2013-09-06,11,106808,putin;says;congress;g20;attack;summit;president;strike;syria;military;obama,news
159,2013-09-06,2,2164,broncos;ravens,misc
160,2013-09-06,2,1649,thompson;mark,misc
161,2013-09-06,2,1368,chemical;used,misc
162,2013-09-06,2,3074,lebanon;orders,event
163,2013-09-06,2,1532,front;page,misc
164,2013-09-06,3,3269,john;kerry;inners,misc
165,2013-09-06,3,4292,final;williams;azarenka,misc
166,2013-09-06,2,4688,new;york,misc
167,2013-09-06,4,14602,rate;jobs;august;unemployment,news
168,2013-09-06,2,1051,dissolve;brotherhood,misc
169,2013-09-06,2,3834,china;apple,misc
170,2013-09-06,2,1463,militants;drone,news
171,2013-09-06,2,1879,small;island,misc
172,2013-09-07,2,2822,open;djokovic,news
173,2013-09-07,12,78844,abbott;says;rudd;results;labor;ausvotes;tony;election;auspol;elect;seat;kevin,misc
174,2013-09-07,2,1933,militants;sinai,news
175,2013-09-07,2,1250,dem;lib,misc
176,2013-09-07,5,45400,strike;syria;kerry;video;obama,news
177,2013-09-07,2,2408,modi;candidate,news
178,2013-09-07,2,1509,explorer;robotic,misc
179,2013-09-07,4,5516,win;australia;polls;exit,news
180,2013-09-07,2,2403,teather;sarah,misc
181,2013-09-07,2,1539,john;kerry,misc
182,2013-09-07,3,2959,nadal;miss;final,news
183,2013-09-07,2,2626,military;intervention,news
184,2013-09-07,3,4535,nasa;mission;moon,news
185,2013-09-07,6,116732,olympic;games;tokyo;madrid;olympics;2020,news
186,2013-09-07,2,2501,vettel;pole,misc
187,2013-09-07,3,3050,pakistan;prisoners;taliban,news
188,2013-09-07,2,1197,arrested;palace,news
189,2013-09-07,2,1532,round;istanbul,misc
190,2013-09-07,2,2123,speech;victory,event
191,2013-09-07,2,1845,preview;saturday,misc
192,2013-09-08,3,1667,zubin;updates;mehta,misc
193,2013-09-08,2,5595,super;bowl,event
194,2013-09-08,2,1824,nato;civilians,news
195,2013-09-08,2,1413,australia;england,event
196,2013-09-08,2,2352,week;fashion,event
197,2013-09-08,3,2338,festival;abbott;ride,event
198,2013-09-08,2,2109,house;white,misc
199,2013-09-08,2,1912,moscow;putin,misc
200,2013-09-08,4,24693,2020;wrestling;olympics;tokyo,event
201,2013-09-08,2,5836,azarenka;williams,misc
202,2013-09-08,2,1869,clashes;muzaffarnagar,misc
203,2013-09-08,2,1003,qaeda;group,misc
204,2013-09-08,2,5282,chemical;assad,misc
205,2013-09-08,3,6030,new;school;year,event
206,2013-09-08,4,7676,man;police;prince;andrew,news
207,2013-09-08,10,42735,says;kerry;congress;support;syria;attack;assad;strike;military;obama,news
208,2013-09-08,2,4712,hip;hop,misc
209,2013-09-08,2,3795,jealous;naacp,misc
210,2013-09-08,2,1141,party;ruling,news
211,2013-09-08,2,10083,azarenka;serena,misc
212,2013-09-08,2,1073,red;carpet,misc
213,2013-09-09,6,34172,serena;wins;usopen;azarenka;final;williams,news
214,2013-09-09,21,167676,chemical;president;kerry;congress;military;international;breaking;watch;live;foreign;weapons;attack;hague;assad;strike;says;syria;john;debate;russia;obama,news
215,2013-09-09,2,3572,house;white,misc
216,2013-09-09,3,1653,moscow;election;kremlin,news
217,2013-09-09,4,144234,zimmerman;police;george;wife,news
218,2013-09-09,2,2416,icahn;dell,misc
219,2013-09-09,2,1045,hillary;clinton,misc
220,2013-09-09,2,2663,runway;skids,misc
221,2013-09-09,3,3249,violence;muzaffarnagar;bjp,news
222,2013-09-09,4,3592,baby;rodman;daughter;dennis,misc
223,2013-09-09,2,1057,leadership;labor,misc
224,2013-09-09,3,2571,asylum;seeker;boat,misc
225,2013-09-10,2,1374,thomas;bach,misc
226,2013-09-10,2,2710,found;guilty,news
227,2013-09-10,2,2649,meeting;council,event
228,2013-09-10,5,35075,usopen;nadal;open;breaking;rafael,news
229,2013-09-10,2,3881,eagles;redskins,misc
230,2013-09-10,2,3331,nigel;evans,misc
231,2013-09-10,2,1344,front;page,misc
232,2013-09-10,32,423756,control;says;apple;december;india;four;gang;foreign;event;rape;weapons;france;chemical;live;speech;iphone;delhigangrape;new;proposal;kerry;delhi;strike;updates;address;russian;obama;face;verdict;meet;syria;resolution;russia,misc
233,2013-09-11,2,2703,benghazi;blast,news
234,2013-09-11,2,2536,humberto;hurricane,news
235,2013-09-11,2,1227,mayoral;blasio,misc
